"land";"code";"saeugling";"einkommen"
"Rwanda";"RWA";26,3;666,4792139
"Samoa";"WSM";12,9;3658,459193
"San Marino";"SMR";1,5;
"Sao Tome and Principe";"STP";23,5;1455,72683
"Saudi Arabia";"SAU";5,7;19160,09421
"Senegal";"SEN";32,7;1276,679787
"Serbia";"SRB";4,6;5770,767752
"Seychelles";"SYC";12,3;14587,43321
"Sierra Leone";"SLE";80,9;476,3773113
"Singapore";"SGP";2,1;48343,59725
"Sint Maarten (Dutch part)";"SXM";;
"Slovak Republic";"SVK";4,7;15649,87124
"Slovenia";"SVN";1,7;20746,3207
"Solomon Islands";"SLB";16,8;1974,373834
"Somalia";"SOM";74;
"South Africa";"ZAF";27,5;4862,222806
"South Sudan";"SSD";62,4;
"Spain";"ESP";2,6;25055,29563
"Sri Lanka";"LKA";6,1;3465,814176
"St. Kitts and Nevis";"K";12,9;
"St. Lucia";"LCA";20;8921,993097
"St. Martin (French part)";"MAF";;
"St. Vincent and the Gredines";"VCT";13,4;6095,007358
"Sudan";"SDN";41;552,5120943
"Surime";"SUR";16,1;4611,480239
"Sweden";"SWE";2,1;43998,41705
"Switzerland";"CHE";3,6;65600,05547
"Syrian Arab Republic";"SYR";17,9;
"Tajikistan";"TJK";29,6;947,9529451
"Tanzania";"TZA";36;967,4256324
"Thailand";"THA";7,7;6069,016395
"Timor-Leste";"TLS";38,1;1418,533353
"Togo";"TGO";45,8;616,7631897
"Tonga";"TON";14,3;4707,815926
"Trinidad and Tobago";"TTO";15,7;14260,55778
"Tunisia";"TUN";14,5;3117,335849
"Turkey";"TUR";8,6;7585,040685
"Turkmenistan";"TKM";36,3;
"Turks and Caicos Islands";"TCA";;
"Tuvalu";"TUV";20,2;
"Uganda";"UGA";33,4;669,373833
"Ukraine";"UKR";7,2;3302,10457
"United Arab Emirates";"ARE";6,4;39305,77963
"United Kingdom";"GBR";3,7;
"United States";"USA";5,6;55419,38641
"Uruguay";"URY";6,1;13626,1881
"Uzbekistan";"UZB";15,6;1435,193964
"Vanuatu";"VUT";21,9;2862,238509
"Venezuela, RB";"VEN";21;
"Vietm";"VNM";15,9;2162,500744
"Virgin Islands (U.S.)";"VIR";;
"West Bank and Gaza";"PSE";16,6;
"Yemen, Rep.";"YEM";43,6;745,8931547
"Zambia";"ZMB";42,4;1049,041583
"Zimbabwe";"ZWE";38,4;1208,27987
